t	x	y
9.132000e-1	-1.290778e-1	8.115545e-2
9.134000e-1	-1.256911e-1	8.448314e-2
9.136000e-1	-1.289950e-1	8.728289e-2
9.138000e-1	-1.262080e-1	8.904265e-2
9.140000e-1	-1.275791e-1	8.566854e-2
9.142000e-1	-1.298878e-1	8.307827e-2
9.144000e-1	-1.265475e-1	8.627839e-2
9.146000e-1	-1.297414e-1	8.598555e-2
9.148000e-1	-1.285222e-1	8.452993e-2
9.150000e-1	-1.288832e-1	8.131422e-2
9.152000e-1	-1.294134e-1	7.801290e-2
9.154000e-1	-1.270277e-1	7.882404e-2
9.156000e-1	-1.284134e-1	8.101483e-2
9.158000e-1	-1.293998e-1	7.759709e-2
9.160000e-1	-1.264054e-1	7.987911e-2
9.162000e-1	-1.297015e-1	8.013125e-2
9.164000e-1	-1.266939e-1	8.244727e-2
9.166000e-1	-1.293363e-1	8.045255e-2
9.168000e-1	-1.266205e-1	8.203783e-2
9.170000e-1	-1.297980e-1	8.516648e-2
9.172000e-1	-1.327120e-1	8.385203e-2
9.174000e-1	-1.336924e-1	8.043467e-2
9.176000e-1	-1.324897e-1	7.895243e-2
9.178000e-1	-1.296674e-1	8.079943e-2
9.180000e-1	-1.262476e-1	8.421923e-2
9.182000e-1	-1.234034e-1	8.612058e-2
9.184000e-1	-1.221627e-1	8.469972e-2
9.186000e-1	-1.231008e-1	8.128603e-2
9.188000e-1	-1.259875e-1	7.989278e-2
9.190000e-1	-1.291919e-1	8.296890e-2
9.192000e-1	-1.265339e-1	8.441464e-2
9.194000e-1	-1.290353e-1	8.214136e-2
9.196000e-1	-1.263089e-1	8.375248e-2
9.198000e-1	-1.293486e-1	8.284077e-2
9.200000e-1	-1.259820e-1	8.611321e-2
9.202000e-1	-1.282905e-1	8.352280e-2
9.204000e-1	-1.270684e-1	8.207196e-2
9.206000e-1	-1.257755e-1	8.073678e-2
9.208000e-1	-1.281445e-1	7.823868e-2
9.210000e-1	-1.247585e-1	8.156464e-2
9.212000e-1	-1.277204e-1	8.039516e-2
9.214000e-1	-1.251895e-1	8.153996e-2
9.216000e-1	-1.270796e-1	7.846401e-2
9.218000e-1	-1.252858e-1	7.803110e-2
9.220000e-1	-1.281845e-1	7.667208e-2
9.222000e-1	-1.253388e-1	7.857733e-2
9.224000e-1	-1.241381e-1	7.709197e-2
9.226000e-1	-1.272618e-1	8.030648e-2
9.228000e-1	-1.239751e-1	8.336046e-2
9.230000e-1	-1.271125e-1	8.282011e-2
9.232000e-1	-1.238698e-1	8.575520e-2
9.234000e-1	-1.264553e-1	8.914063e-2
9.236000e-1	-1.256035e-1	8.713225e-2
9.238000e-1	-1.240359e-1	8.627428e-2
9.240000e-1	-1.272284e-1	8.937433e-2
9.242000e-1	-1.242926e-1	9.150656e-2
9.244000e-1	-1.268852e-1	8.940858e-2
9.246000e-1	-1.238079e-1	9.190531e-2
9.248000e-1	-1.271647e-1	9.446192e-2
9.250000e-1	-1.247147e-1	9.541952e-2
9.252000e-1	-1.254572e-1	9.204261e-2
9.254000e-1	-1.267781e-1	8.865483e-2
9.256000e-1	-1.234120e-1	9.192562e-2
9.258000e-1	-1.233856e-1	8.898613e-2
9.260000e-1	-1.249483e-1	9.141772e-2
9.262000e-1	-1.240116e-1	8.952991e-2
9.264000e-1	-1.228007e-1	8.806074e-2
9.266000e-1	-1.256808e-1	9.146430e-2
9.268000e-1	-1.236824e-1	9.144001e-2
9.270000e-1	-1.245181e-1	8.804155e-2
9.272000e-1	-1.247462e-1	8.490826e-2
9.274000e-1	-1.223570e-1	8.572748e-2
9.276000e-1	-1.245444e-1	8.885827e-2
9.278000e-1	-1.237934e-1	8.671256e-2
9.280000e-1	-1.222256e-1	8.585496e-2
9.282000e-1	-1.253797e-1	8.902375e-2
9.284000e-1	-1.225977e-1	9.077106e-2
9.286000e-1	-1.248688e-1	8.812661e-2
9.288000e-1	-1.222609e-1	8.945278e-2
9.290000e-1	-1.256567e-1	9.171253e-2
